Deletion size,Max growth rate,Min production rate,Deleted genes,,,
1,0.338472156714469,0.0517187375308127,Phatr3_EG02584,,,
2,0.348367223628447,0.027504342482473,PHATRDRAFT_draft521,PHATRDRAFT_31544,,
3,0.34836722362842,0.0275043424824162,PHATRDRAFT_26432,PHATRDRAFT_12331,PHATRDRAFT_31436,
3,0.348367223628412,0.0275043424822073,PHATRDRAFT_draft521,PHATRDRAFT_11319,PHATRDRAFT_38085,
3,0.348367223628412,0.0275043424822073,PHATRDRAFT_draft521,PHATRDRAFT_17720,PHATRDRAFT_35691,
3,0.348367223628412,0.0275043424822073,PHATRDRAFT_draft521,PHATRDRAFT_22803,PHATRDRAFT_38946,
3,0.348367223628531,0.0275043424822565,PHATRDRAFT_26432,PHATRDRAFT_11319,YP_874486_AT1,
3,0.348367223628337,0.0275043424824065,PHATRDRAFT_26432,PHATRDRAFT_41969,PHATRDRAFT_12331,
3,0.34836722362842,0.0275043424821455,PHATRDRAFT_draft521,PHATRDRAFT_55069,PHATRDRAFT_12331,
3,0.348367223628412,0.0275043424822073,PHATRDRAFT_draft521,PHATRDRAFT_23723,YP_874486_AT1,
3,0.348367223628481,0.0275043424824829,PHATRDRAFT_draft521,PHATRDRAFT_35691,PHATRDRAFT_35580,
3,0.348367223628483,0.0275043424823807,PHATRDRAFT_draft521,PHATRDRAFT_54478,PHATRDRAFT_38085,
3,0.348367223628506,0.0275043424824628,PHATRDRAFT_draft521,PHATRDRAFT_20310,PHATRDRAFT_47293,
3,0.348367223628531,0.0275043424822565,PHATRDRAFT_26432,PHATRDRAFT_47293,PHATRDRAFT_31436,
3,0.348367223628476,0.0275043424824162,PHATRDRAFT_draft521,PHATRDRAFT_12331,PHATRDRAFT_51970,
4,0.348367223628421,0.0275043424823899,PHATRDRAFT_54015,PHATRDRAFT_19979,PHATRDRAFT_28181,YP_874486_AT1
4,0.348367223628396,0.0275043424824162,PHATRDRAFT_54015,PHATRDRAFT_55069,PHATRDRAFT_5423,PHATRDRAFT_21970
4,0.348367223628421,0.0275043424823899,PHATRDRAFT_54015,PHATRDRAFT_11319,PHATRDRAFT_47293,PHATRDRAFT_28181
4,0.348367223628421,0.0275043424823899,PHATRDRAFT_54015,PHATRDRAFT_55069,PHATRDRAFT_5423,PHATRDRAFT_28181
