Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,
5,0.157996283742734,4.57420911869518,YGR087C,YLR044C,YLR134W,YNL104C,YJL121C,,,,,,,,,
6,0.159157849106515,4.56862813993065,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YJL121C,,,,,,,,
6,0.158240093954336,4.56242559251301,YGR087C,YLR044C,YLR134W,YOR375C,YAL062W,YNL104C,,,,,,,,
7,0.159405260216253,4.55674914859775,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YOR375C,YAL062W,,,,,,,
9,0.171894780299462,1.88925054724063,YBR068C,YDR046C,YBR069C,YGR087C,YLR044C,YLR134W,YCL025C,YKR039W,YNL104C,,,,,
9,0.160780560557327,0.373834018991826,YMR083W,YGR087C,YLR044C,YLR134W,YKL192C,YOL059W,YJL121C,YLR348C,YML120C,,,,,
10,0.161032120511918,0.357636350148032,YMR083W,YGR087C,YLR044C,YLR134W,YKL192C,YOL059W,YOR375C,YAL062W,YLR348C,YML120C,,,,
10,0.173180795650328,1.88675951238117,YBR068C,YDR046C,YBR069C,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YCL025C,YKR039W,,,,
10,0.159157849106515,4.56862810171342,YOL086C,YDL168W,YMR303C,YGL256W,YBR145W,YMR083W,YGR087C,YLR044C,YLR134W,YJL121C,,,,
11,0.15940239421361,4.5627622469365,YOL086C,YDL168W,YMR303C,YGL256W,YBR145W,YMR083W,YGR087C,YLR044C,YLR134W,YOR375C,YAL062W,,,
14,0.173146002117169,1.89985958718311,YOL086C,YDL168W,YMR303C,YGL256W,YBR145W,YBR068C,YMR083W,YDR046C,YBR069C,YGR087C,YLR044C,YLR134W,YCL025C,YKR039W
