Deletion size,Max growth rate,Min production rate,Deleted genes,,
2,0.353897749137418,0.0279409893809088,PHATRDRAFT_draft521,PHATRDRAFT_22803,
2,0.353897749137418,0.0279409893809088,PHATRDRAFT_draft521,PHATRDRAFT_23723,
2,0.35389774913753,0.0279409893808368,PHATRDRAFT_draft521,PHATRDRAFT_54478,
2,0.353897749137474,0.0279409893808589,PHATRDRAFT_draft521,PHATRDRAFT_42245,
2,0.353897749137539,0.0279409893809088,PHATRDRAFT_draft521,PHATRDRAFT_23913,
2,0.353897749137418,0.0279409893809088,PHATRDRAFT_draft521,PHATRDRAFT_41969,
2,0.353897749137486,0.0279409893802267,PHATRDRAFT_draft521,PHATRDRAFT_51970,
2,0.353897749137418,0.0279409893809088,PHATRDRAFT_draft521,PHATRDRAFT_11319,
2,0.353897749137418,0.0279409893809088,PHATRDRAFT_draft521,PHATRDRAFT_17720,
2,0.353897749137526,0.027940989377953,PHATRDRAFT_draft521,PHATRDRAFT_31544,
2,0.353897749137529,0.0279409893794309,PHATRDRAFT_draft521,PHATRDRAFT_35580,
3,0.353897749137528,0.0279409893808298,PHATRDRAFT_draft521,PHATRDRAFT_45947,PHATRDRAFT_28068
3,0.35389774913753,0.0279409893796796,PHATRDRAFT_54015,PHATRDRAFT_31436,PHATRDRAFT_28181
3,0.353897749137534,0.0279409893808233,PHATRDRAFT_54015,PHATRDRAFT_19979,PHATRDRAFT_21970
3,0.35389774913753,0.0279409893796796,PHATRDRAFT_54015,PHATRDRAFT_55069,PHATRDRAFT_28181
3,0.353897749137643,0.0279409893812149,PHATRDRAFT_54015,PHATRDRAFT_42245,PHATRDRAFT_28181
3,0.353897749137534,0.0279409893808233,PHATRDRAFT_54015,PHATRDRAFT_22803,PHATRDRAFT_21970
3,0.35389774913753,0.027940989380149,PHATRDRAFT_54015,PHATRDRAFT_21970,PHATRDRAFT_35580
3,0.35389774913753,0.0279409893806815,PHATRDRAFT_54015,PHATRDRAFT_31544,PHATRDRAFT_28181
3,0.353897749137618,0.0279409893812161,PHATRDRAFT_54015,PHATRDRAFT_20310,PHATRDRAFT_21970
