Deletion size,Max growth rate,Min production rate,Deleted genes,,
1,0.348719504747449,0.0532845381231073,Phatr3_EG02584,,
2,0.353897749137524,0.0279409893812531,PHATRDRAFT_draft521,PHATRDRAFT_11319,
2,0.353897749137524,0.0279409893812531,PHATRDRAFT_draft521,PHATRDRAFT_19979,
2,0.353897749137524,0.0279409893812531,PHATRDRAFT_draft521,PHATRDRAFT_17720,
2,0.35389774913753,0.0279409893808267,PHATRDRAFT_draft521,PHATRDRAFT_48078,
2,0.353897749137524,0.0279409893812531,PHATRDRAFT_draft521,PHATRDRAFT_23723,
2,0.353897749137526,0.0279409893808865,PHATRDRAFT_draft521,PHATRDRAFT_35580,
2,0.353897749137533,0.0279409893808304,PHATRDRAFT_draft521,PHATRDRAFT_20310,
2,0.353897749137523,0.0279409893788462,PHATRDRAFT_draft521,PHATRDRAFT_54478,
2,0.353897749137524,0.0279409893812531,PHATRDRAFT_draft521,PHATRDRAFT_31436,
3,0.353897749137804,0.0279409893829734,PHATRDRAFT_54015,PHATRDRAFT_21970,PHATRDRAFT_51970
3,0.353897749137529,0.0279409893803436,PHATRDRAFT_54015,PHATRDRAFT_22803,PHATRDRAFT_28181
3,0.353897749137418,0.0279409893793935,PHATRDRAFT_54015,PHATRDRAFT_41969,PHATRDRAFT_21970
3,0.353897749137415,0.0279409893810156,PHATRDRAFT_54015,PHATRDRAFT_48078,PHATRDRAFT_28181
3,0.353897749137529,0.0279409893808165,PHATRDRAFT_54015,PHATRDRAFT_20310,PHATRDRAFT_28181
3,0.35389774913753,0.0279409893807552,PHATRDRAFT_54015,PHATRDRAFT_21970,PHATRDRAFT_42245
3,0.35389774913776,0.0279409893802363,PHATRDRAFT_54015,PHATRDRAFT_21970,PHATRDRAFT_35580
3,0.353897749137529,0.0279409893803436,PHATRDRAFT_54015,PHATRDRAFT_17720,PHATRDRAFT_28181
3,0.353897749137529,0.0279409893803436,PHATRDRAFT_54015,PHATRDRAFT_31436,PHATRDRAFT_28181
3,0.353897749137529,0.0279409893743699,PHATRDRAFT_54015,PHATRDRAFT_35580,PHATRDRAFT_28181
